,Star Name,Distance,Mass,Radius,Gravity
0,Sun,1.5813e-05,1.989e+30,695700000.0,274.2691614595739
1,Sirius,8.6,4.1769e+30,1189647000.0,196.971799550325
2,Canopus,310.0,2.9835e+31,49394700000.0,0.8161153386021839
3,Alpha Centauri,4.4,2.1879e+30,834840000.0,209.51116500384123
4,Arcturus,37.0,2.1879e+30,18088200000.0,0.44629597278924754
5,Vega,25.0,4.3758e+30,1878390000.0000002,82.76984296448046
6,Capella,43.0,5.1714e+30,8348400000.0,4.952082081908975
7,Rigel,860.0,4.574699999999999e+31,54890730000.00001,1.01332978543217
8,Procyon,11.4,2.9835e+30,1321830000.0,113.9622554541166
9,Betelgeuse,640.0,3.978e+31,660915000000.0,0.006077986957552885
10,Achernar,144.0,1.33263e+31,6470010000.000001,21.2464259657665
11,Hadar,390.0,2.08845e+31,5983020000.0,38.937617567949246
12,Altair,17.0,3.5802e+30,1252260000.0,152.37175636642996
13,Acrux,320.0,3.5801999999999996e+31,6191730000.0,62.326030883377484
14,Aldebaran,65.0,2.9835e+30,30610800000.0,0.21250193294905007
15,Antares,600.0,2.3868e+31,473076000000.0,0.0071177118025840995
16,Spica,260.0,2.2734269999999998e+31,5196879000.0,56.18003500809
17,Pollux,34.0,3.7790999999999997e+30,6122160000.000001,6.729227876719916
18,Fomalhaut,25.0,3.7790999999999997e+30,1252260000.0,160.8368539423427
19,Deneb,2600.0,3.7791e+31,141227100000.0,0.12645572733460908
20,Mimosa,350.0,3.1824e+31,5843880000.0,62.19255361895101
21,Regulus,77.0,7.558199999999999e+30,2156670000.0,108.45190567600218
22,Adhara,430.0,2.48625e+31,9739800000.0,17.491655705329972
23,Shaula,700.0,2.88405e+31,6122160000.000001,51.354633796020416
24,Castor,52.0,5.5692e+30,1669680000.0,133.3252868206262
25,Gacrux,88.0,2.9835e+30,58438800000.0,0.058305519017766566
26,Bellatrix,240.0,1.7105399999999998e+31,4035060000.0,70.11637302474244
27,Elnath,130.0,9.945e+30,2921940000.0,77.74069202368877
28,Miaplacidus,110.0,6.9615e+30,4730760000.0,20.759992757536956
29,Alnilam,2000.0,6.3648e+31,29219400000.0,4.975404289516081
30,Gamma Velorum,1100.0,1.7900999999999998e+31,4174200000.0,68.56729036489348
31,Alnair,101.0,7.956e+30,2365380000.0,94.90282403445465
32,Alioth,81.0,5.7681e+30,2921940000.0,45.08960137373948
33,Alnitak,1050.0,6.5637e+31,13914000000.0,22.62720582041485
34,Dubhe,120.0,8.453249999999999e+30,20871000000.0,1.2951599291146547
35,Mirfak,590.0,1.6906499999999999e+31,47307600000.0,0.5041712526830403
36,Wezen,1600.0,3.3812999999999997e+31,139140000000.0,0.11656439362031894
37,Sargas,270.0,1.13373e+31,18088200000.0,2.3126245862715553
38,Kaus Australis,140.0,6.9615e+30,4730760000.0,20.759992757536956
39,Avior,630.0,1.7900999999999998e+31,90441000000.0,0.14606050018557193
40,Alkaid,104.0,1.2132899999999998e+31,2365380000.0,144.72680665254333
41,Menkalinan,81.0,4.75371e+30,1927089000.0,85.43097080483021
42,Atria,390.0,1.3923e+31,64004400000.0,0.22682941046987445
43,Alhena,109.0,5.5692e+30,2295810000.0,70.51915997124031
44,Peacock,180.0,1.17351e+31,3339360000.0,70.23385645015132
45,Alsephina[2],80.0,4.7735999999999997e+30,2017530000.0,78.26943965552645
46,Mirzam,500.0,2.68515e+31,6957000000.0,37.02633679704249
47,Polaris,430.0,1.07406e+31,27132300000.0,0.973736667903813
48,Alphard,180.0,5.967e+30,34785000000.0,0.32912299375148873
49,Scheat,196.0,4.1769e+30,66091500000.0,0.0638188630543053
50,Almaaz,653.0,2.9835e+31,97398000000.0,0.20989986846395964
51,Rasalgethi,360.0,5.5692e+30,194796000000.0,0.009795327194984781
52,Tau Ceti,11.9,1.5573869999999998e+30,621260100.0,269.2996711047934
53,Delta Pavonis,19.92,1.9710989999999998e+30,848754000.0,182.61269753187165
54,Ran,10.48,1.6309799999999997e+30,514818000.0,410.70254272616984
55,V382 Carinae,8900.0,3.978e+31,337414500000.0,0.023319728894426524
56,Eta Carinae,7500.0,1.989e+32,612911700000.0,0.035336632665075154
57,Delta Cephei,887.0,8.950499999999999e+30,30958650000.0,0.6232603088337749
58,Mu Cephei,6000.0,3.8188799999999997e+31,676220400000.0,0.005573726798954914
59,Titawin,44.25,2.52603e+30,1029636000.0,159.02202111653529
60,Rho Cassiopeiae,8154.0,4.3758e+31,556560000000.0,0.009428002425172855
61,P Cygni,5545.0,5.967e+31,52873200000.0,1.4245281931764575
62,VV Cephei,4900.0,3.61998e+31,521775000000.0,0.008874131090780881
63,61 Cygni,11.41,1.3923e+30,462640500.0,434.1419255394917
64,R Doradus,178.0,1.5912e+30,207318600000.0,0.00247078204999391
65,Polaris Australis,281.0,3.16251e+30,2601918000.0,31.176754176608036
66,R Coronae Borealis,4566.0,1.6906499999999997e+30,59134500000.0,0.032266960171714584
67,54 Piscium,36.1,1.51164e+30,653958000.0,235.9037604224493
68,Mira,300.0,2.3867999999999998e+30,257409000000.0,0.00240411244522636
69,RW Cephei,14000.0,2.76471e+31,805620600000.0,0.0028429856016179986
70,Lacaille 8760,12.87,1.1933999999999999e+30,354807000.0,632.685493563031
71,V838 Monocerotis,19896.0,9.945e+29,313065000000.0,0.0006772078060730221
72,HD 140283,190.0,3.978e+30,973979999.9999999,279.8664912852796
73,II Pegasi,130.0,1.5912e+30,2365380000.0,18.98056480689093
74,VY Canis Majoris,3900.0,3.3812999999999997e+31,987894000000.0,0.0023123267927061875
75,Pistol Star,25000.0,1.989e+32,222624000000.0,0.2678409779878652
76,S Doradus,169000.0,4.7736e+31,264366000000.0,0.04558490218164664
77,UY Scuti,5100.0,1.3923e+31,525253500000.0,0.0033680700499399458
78,Barnard's Star,5.98,2.7846e+29,139140000.0,959.9420651085089
79,Luhman 16,6.52,7.956e+28,13914000.0,27426.9161459574
80,Proxima Centauri,4.25,2.3868e+29,104355000.0,1462.7688611177277
81,KIC 8462852,1470.0,2.84427e+30,1099206000.0,157.10819615734286
82,R136a1,163000.0,5.7680999999999994e+32,22262400000.0,77.67388361648091
83,Melnick 42,163000.0,3.75921e+32,14679270000.000002,116.4324060911917
84,WR 102,18134.0,3.7791e+31,271323000.0,34261.104981800825
85,VFTS 352,164000.0,1.1432771999999998e+32,10066779000.0,75.29335961731135
86,YBP 1194,2772.0,2.00889e+30,688743000.0,282.6363157577489
87,Gliese 1214,47.5,3.1824e+29,146097000.0,995.0808579032163
88,NML Cygni,5251.0,9.945e+31,1321830000000.0,0.0037987418484705534
89,VB 10,18.72,1.4917499999999999e+29,69570000.0,2057.0187109468043
90,WOH G64,163000.0,3.978e+31,1113120000000.0,0.0021427278239029217
91,TRAPPIST-1,39.6,1.77021e+29,83484000.0,1695.1357895765336
92,2MASS J0523-1403,40.3,1.3923e+29,59830199.99999999,2595.841171196618
93,WISE 0855âˆ’0714,7.27,5.967e+27,59830199.99999999,111.25033590842646
94,Icarus,14400000000.0,6.5637e+31,139140000.0,226272.05820414852
95,SDSS J000013.54+255418.6Â [de],46.1,9.1136425536e+28,70777296.90900001,1214.200056936461
96,2MASS J00040288-6410358,192.0,3.6074835108e+28,116532317.133,177.29553270309606
97,2MASS J00242463-0158201,37.7,1.49995367028e+29,77926518.81899999,1648.5172507306947
98,2MASS J00274197+0503417,236.0,5.8858941492e+28,102948795.50400001,370.64326282297077
99,2MASSW J0030300-145033,87.2,1.02528478728e+29,70062374.71800001,1393.9943359838123
100,2MASS J00332386-1521309Â [de],131.0,5.5061590428e+28,102233873.31300001,351.5971318717637
101,2MASS J00345157+0523050,31.0,7.9744372344e+28,67202685.954,1178.4549471797168
102,2MASS 0036+1821,28.6,7.9744372344e+28,67202685.954,1178.4549471797168
103,2MASSW J0045214+163445,57.0,4.3669537235999995e+28,115817394.942,217.2787267524544
104,WISEP J004701.06+680352.1Â [fr],40.0,2.2784106384e+28,92939884.83000001,176.04104671648304
105,2MASS J00501994-3322402Â [de],34.0,7.594702128e+28,67202685.954,1122.3380449330632
106,2MASS J00584253-0651239Â [de],96.0,5.5061590428e+28,102233873.31300001,351.5971318717637
107,2MASSI J0103320+193536,70.0,9.873112766399999e+28,70062374.71800001,1342.3649161325598
108,SDSSp J010752.33+004156.1Â [de],51.0,9.873112766399999e+28,70062374.71800001,1342.3649161325598
109,2MASSI J0117474-340325Â [de],163.0,3.797351064e+28,115817394.942,188.93802326300383
110,2MASS J01415823-4633574Â [de],130.0,3.797351064e+28,115102472.751,191.292368446984
111,SDSS J015141.69+124429.6,70.0,8.923775000399998e+28,69347452.527,1238.4366334263516
112,SDSS J020742.48+000056.2Â [de],111.0,8.923775000399998e+28,69347452.527,1238.4366334263516
113,2MASS J02103857-3015313,101.0,2.848013298e+28,109383095.22299999,158.86484308965376
114,2MASS J02340093-6442068,155.0,3.797351064e+28,115817394.942,188.93802326300383
115,2MASS J02411151-0326587Â [de],152.0,5.1264239364e+28,100804028.93100001,336.7014134799189
116,2MASS J02431371âˆ’2453298,35.0,6.265629255599999e+28,70777296.90900001,834.7625391438166
117,LP 771-21,53.0,1.48096691496e+29,77211596.628,1657.9311541328584
118,Teegarden's star,12.578,1.5189404256e+29,90795118.257,1229.7078510792417
119,2MASS J02535980+3206373,184.0,1.2341390958e+29,135835216.29,446.40140770557866
120,WISE J0254+0223,24.0,1.2341390958e+29,135835216.29,446.40140770557866
121,DEN 0255-4700,16.2,1.5189404256e+29,69347452.527,2107.9772483852794
122,2MASS J03185403-3421292Â [de],45.0,9.3035101068e+28,69347452.527,1291.1360646359838
123,2MASS J03205965+1854233,47.0,1.67083446816e+29,82216051.965,1649.7053854867902
124,2MASS J03231002-4631237,192.0,4.3669537235999995e+28,118677083.70599999,206.93362261908166
125,SDSS J032553.17+042540.1,59.0,8.544039894e+28,67917608.145,1236.1885136462176
126,2MASS J03264225-2102057Â [de],80.0,3.4176159576e+28,92939884.83000001,264.0615700747245
127,2MASS J03284265+2302051Â [de],98.0,1.02528478728e+29,70062374.71800001,1393.9943359838123
128,2MASS J03341218-4953322,27.0,1.3860331383600002e+29,74351907.864,1673.3068242582378
129,LP 944-20,20.9,1.3860331383600002e+29,102233873.31300001,885.0548491944395
130,2MASP J0345432+254023,88.0,1.40501989368e+29,75066830.055,1664.073567827919
131,Teide 1,380.0,1.0442715426e+29,270240588.198,95.43298113794582
132,2MASS J03510004-0052452,48.0,1.93664904264e+29,90795118.257,1567.8775101260333
133,2MASS J03552337+1133437,29.8,3.797351064e+28,94369729.212,284.5781383444831
134,2MASS J04151954âˆ’0935066,18.6,5.696026596e+28,67917608.145,824.1256757641451
135,2MASS J04285096-2253227Â [de],85.0,1.5189404256e+29,77926518.81899999,1669.384557701969
136,2MASS J04351612-1606574,34.0,1.898675532e+29,90080196.066,1561.6306004391138
137,2MASS J04362788-4114465,142.0,7.4048345748e+28,140839671.627,249.14464404913377
138,2MASS J04390101-2353083Â [de],29.5,9.1136425536e+28,69347452.527,1264.786349031168
139,2MASS J04433764+0002040,82.0,4.1770861704e+28,127256149.99800001,172.14803783504922
140,2MASS J04455387-3048204Â [de],42.0,1.21515234048e+29,71492219.1,1586.7166344045677
141,2MASS J04510093-3402150Â [de],69.0,1.974623508e+27,5147439775.2,0.004973795867202517
142,2MASS J05002100+0330501Â [de],44.0,1.21515234048e+29,71492219.1,1586.7166344045677
143,2MASS J05012406-0010452Â [de],64.0,3.9872186172e+28,98659262.358,273.3886765721481
144,2MASS J05160945-0445499Â [de],73.0,8.923775000399998e+28,69347452.527,1238.4366334263516
145,2MASS J0523âˆ’1403,40.0,1.2910993617600001e+29,72207141.291,1652.6678012497337
146,SDSS J053951.99-005902.0,41.62,1.1581920745199998e+29,72207141.291,1482.5402334740254
147,LSR 0602+3910Â [de],34.6,5.3162914895999995e+28,100804028.93100001,349.1718362013974
148,2MASS J06085283-2753583,102.0,7.2149670216e+28,107953250.84099999,413.1893345369554
149,2MASS J06244595-4521548Â [de],39.0,1.0632582979199999e+29,70777296.90900001,1416.5667330925376
150,2MASS J06411840-4322329Â [de],65.0,1.27211260644e+29,72207141.291,1628.363862996061
151,DENIS-P J0652197-253450Â [de],51.0,1.424006649e+29,75066830.055,1686.5610484742424
152,2MASS J07075327-4900503,60.0,1.36704638304e+29,73636985.673,1682.5866846122526
153,UGPS J072227.51-054031.2,13.4,4.9365563831999995e+28,70062374.71800001,671.1824580662799
154,2MASSI J0727182+171001Â [de],29.6,7.784569681199999e+28,67202685.954,1150.3964960563899
155,2MASS J07290002-3954043Â [de],25.8,7.0250994684e+28,67202685.954,1038.1626915630836
156,SDSS J074201.41+205520.5Â [de],49.0,8.1643047876e+28,67202685.954,1206.513398303043
157,DENIS-P J0751164-253043Â [de],55.0,1.3480596277199998e+29,73636985.673,1659.2174251037488
158,2MASS J07522390+1612157,60.0,3.816338058e+27,4861470898.8,0.010776994467105179
159,DENIS J081730.0-615520,16.1,8.3541723408e+28,67202685.954,1234.5718494263697
160,2MASS J08251968+2115521Â [de],35.0,9.873112766399999e+28,70062374.71800001,1342.3649161325598
161,SDSSp J083008.12+482847.4Â [de],43.0,9.1136425536e+28,70777296.90900001,1214.200056936461
162,LHS 2021,55.0,1.67083446816e+29,82216051.965,1649.7053854867902
163,SDSS J083048.80+012831.1Â [de],77.0,8.733907447199999e+28,68632530.336,1237.4702484573381
164,2MASSI J0835425-081923Â [de],23.53,1.17717882984e+29,71492219.1,1537.131739579425
165,2MASSI J0847287-153237Â [de],43.0,1.21515234048e+29,71492219.1,1586.7166344045677
166,2MASS J08533619-0329321,27.6,1.4619801596399999e+29,76496674.437,1667.410647888894
167,2MASSI J0859254-194926Â [de],50.0,9.49337766e+28,70062374.71800001,1290.7354962813079
168,2MASSI J0937347+293142,20.0,7.9744372344e+28,67202685.954,1178.4549471797168
169,2MASS 0939âˆ’2448,17.4,6.0757617024e+28,67917608.145,879.0673874817548
170,2MASS J09490860-1545485Â [de],59.0,9.3035101068e+28,68632530.336,1318.174829878469
171,2MASS J10073369-4555147,46.0,8.3541723408e+28,67202685.954,1234.5718494263697
172,2MASSI J1010148-040649Â [de],55.0,9.6832452132e+28,70062374.71800001,1316.5502062069338
173,2MASS J10224821+5825453Â [de],60.0,5.1264239364e+28,100804028.93100001,336.7014134799189
174,2MASSW J1036530-344138Â [de],53.0,9.3035101068e+28,69347452.527,1291.1360646359838
175,2MASS J1047538+212423Â [de],34.4,7.9744372344e+28,67202685.954,1178.4549471797168
176,DEN 1048-3956,13.15,1.4619801596399999e+29,76496674.437,1667.410647888894
177,Luhman 16B,6.516,8.1643047876e+28,72922063.482,1024.6782379282668
178,Luhman 16A,6.516,7.594702128e+28,72207141.291,972.157530146902
179,DENIS-P J1058.7âˆ’1548,49.0,1.21515234048e+29,71492219.1,1586.7166344045677
180,TWA 28,180.0,6.8352319152e+28,170866403.649,156.25218516002334
181,Cha 110913-773444,163.0,1.5189404256e+28,128685994.38000001,61.21591953721324
182,SDSS J111010.01+011613.1,63.0,1.7088079788e+28,88650351.684,145.11708292998327
183,2MASS J11145133âˆ’2618235,18.2,6.265629255599999e+28,68632530.336,887.7503956324381
184,TWA 26,137.0,5.696026596e+28,157282882.01999998,153.6721947060209
